FinalWgt,CR1,CR2,PHR3,PHR4,PHR5,CR5,CR6,CR7,CR8,PHR10,SR1,CR9,CR10,OR9,CR11,CR12,CR13,CR14,ELR1,PHR20,PHR21,ELR2,CR15,CR16,CR17,CR18,OR12,OR13,PHR29,PHR30,PHR31,CR19,CR20,OR19,CR21,CR22,CR23,CR24,CR25,CR26,CR27,CR28,PHR43,PHR44,CR30,PHR46,CR31,CR32,CR33,CR34,PHR51,CR35,PHR53,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,OR48,OR49,PHR64,OR54,OR55,PHR67,Stratum,PSU
1007.795048,4,2,3,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,3,1,1,1,1,1,6,1,2,2,1,2,1,1,3,3,3,2,2,2,1,1,2,2,5,1,2,1,1,1,1,201901001,1
1007.795048,4,2,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,5,6,5,1,4,1,1,1,1,1,7,1,1,1,1,2,1,2,2,2,2,3,2,2,1,1,4,3,4,3,3,1,2,1,2,201901001,1
1007.795048,4,2,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,5,1,1,2,1,1,3,1,1,1,1,1,2,1,1,2,3,1,1,3,3,3,3,3,2,2,1,1,3,2,4,1,3,1,2,1,2,201901001,1
1007.795048,4,2,3,1,3,1,5,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,3,7,3,3,2,4,5,1,2,4,2,4,1,1,1,1,1,7,2,1,1,1,2,1,3,3,3,1,3,2,2,1,1,3,3,4,1,2,1,2,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,4,1,1,3,2,1,3,1,1,1,1,1,7,1,,1,1,1,1,2,3,2,2,3,2,2,2,2,4,3,4,3,2,1,4,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,4,1,5,6,5,1,4,1,1,1,1,1,7,1,1,1,1,3,1,2,2,3,3,3,2,2,1,1,3,3,5,3,2,1,1,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,3,1,1,1,1,1,1,1,2,4,1,1,2,2,2,4,1,1,1,1,1,3,2,2,2,1,1,2,2,3,3,3,3,2,2,1,1,3,,3,1,2,1,1,2,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,3,2,1,4,1,1,1,1,1,6,1,1,1,2,3,,3,3,,3,3,2,2,1,1,3,3,5,3,3,1,2,1,2,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,5,3,5,1,3,1,1,1,1,1,6,1,1,1,2,2,1,2,2,2,1,3,2,2,1,1,2,2,4,3,3,1,2,1,2,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,4,1,1,1,1,1,7,1,2,1,1,2,1,2,2,1,3,3,2,2,1,1,2,1,4,3,2,1,3,2,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,4,1,1,1,1,1,7,1,1,1,2,2,1,2,2,1,3,3,2,2,1,1,2,2,5,2,2,1,1,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,2,2,4,1,2,1,1,1,6,1,1,1,1,2,1,2,2,3,3,3,2,2,1,1,2,1,5,3,2,1,2,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,2,5,3,3,1,4,1,1,1,1,1,7,1,1,1,1,1,1,2,2,1,1,3,2,2,1,1,2,3,5,3,2,1,1,2,,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,4,1,1,1,1,1,5,2,4,2,2,1,4,1,1,1,1,1,6,1,1,1,2,3,1,2,2,3,3,3,2,2,1,1,3,1,4,1,2,1,1,1,1,201901001,1
1007.795048,4,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,2,3,3,1,4,1,1,1,1,1,7,1,1,1,2,,2,2,2,3,3,3,2,2,1,1,2,2,4,2,1,1,1,1,1,201901001,1
1007.795048,4,2,3,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,2,2,1,4,1,1,1,1,1,6,2,1,2,3,2,1,2,3,3,3,3,,,1,1,3,3,5,3,2,1,2,1,1,201901001,1
1007.795048,4,2,3,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,5,1,4,1,1,1,1,1,7,1,1,1,1,3,1,3,3,3,3,3,2,2,1,1,3,2,5,3,2,1,1,1,1,201901001,1
1007.795048,4,2,3,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,4,1,1,2,1,1,4,1,1,1,1,1,4,2,1,1,1,2,1,3,3,1,3,3,2,2,1,1,3,2,5,1,2,1,2,1,2,201901001,1
1007.795048,4,2,3,1,5,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,3,1,1,1,1,1,7,1,1,1,3,1,1,3,1,3,3,3,2,2,1,1,4,2,4,2,3,1,1,1,1,201901001,1
1007.795048,4,2,3,1,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,4,2,1,1,4,1,1,1,1,1,6,1,1,1,1,1,2,3,3,1,1,3,2,2,1,1,2,3,5,3,2,1,1,1,2,201901001,1
1007.795048,5,2,3,1,3,1,6,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1,2,4,1,1,6,,1,4,1,1,6,3,3,6,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,3,2,5,2,2,1,3,1,1,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,5,2,5,1,4,1,1,1,3,3,6,1,1,2,3,2,1,2,3,3,3,3,2,2,1,1,3,3,4,3,2,1,1,1,2,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,3,2,6,3,3,2,4,1,2,3,3,1,4,1,1,1,1,1,4,1,1,1,2,2,1,2,3,3,3,3,2,2,1,1,3,2,4,3,2,1,1,1,1,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,4,1,1,1,1,1,7,1,2,2,3,3,1,2,2,3,3,3,2,2,1,1,2,2,4,3,3,1,2,1,2,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,4,1,1,1,1,1,7,1,1,1,1,3,1,2,2,2,3,3,2,2,1,1,1,3,5,2,3,1,1,1,1,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,4,1,1,1,1,1,7,2,1,1,3,1,1,2,2,2,2,2,2,2,1,1,3,2,5,2,2,1,3,1,1,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,2,1,4,1,1,1,1,1,7,1,1,1,1,1,1,2,2,3,1,3,2,2,1,1,3,2,5,2,2,1,1,2,1,201901001,1
1007.795048,5,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,2,1,4,1,1,1,1,1,7,2,1,1,2,2,1,2,2,2,3,3,2,2,1,1,4,2,5,2,2,1,1,1,1,201901001,1
1007.795048,5,2,3,1,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,4,1,1,1,1,1,6,1,1,1,1,1,1,2,2,3,3,3,2,2,1,1,3,2,5,2,2,1,3,1,1,201901001,1
1007.795048,5,2,3,1,7,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,5,5,5,2,1,1,3,1,1,1,1,1,6,1,1,2,1,3,2,3,3,3,3,3,2,2,1,1,3,3,5,2,2,1,1,1,1,201901001,1
1007.795048,5,2,3,2,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,2,2,4,3,1,4,1,1,1,1,1,7,1,2,2,1,1,1,1,3,3,3,3,2,2,1,1,1,2,5,2,2,1,1,1,2,201901001,1
1007.795048,6,2,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,2,2,2,4,1,1,1,1,1,2,2,1,1,1,1,2,2,3,1,3,3,2,2,1,1,3,3,5,2,2,1,1,1,1,201901001,1
1007.795048,6,2,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,4,1,1,1,1,1,7,2,1,2,1,1,1,1,3,3,3,3,2,2,1,1,4,3,3,3,2,1,3,2,2,201901001,1
1007.795048,6,2,3,1,3,1,6,1,1,2,2,,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,5,6,1,,4,1,1,7,3,3,6,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,4,3,5,3,3,1,1,1,1,201901001,1
1007.795048,6,2,3,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,1,1,1,1,1,7,2,1,1,2,,3,1,3,3,3,3,2,2,1,1,3,,4,2,3,1,1,1,1,201901001,1
1007.795048,6,2,3,1,5,1,6,2,3,2,2,2,2,5,2,2,2,2,1,2,1,1,2,3,3,4,3,3,3,1,4,1,1,3,1,1,4,1,1,6,2,3,7,1,1,1,3,2,1,3,2,2,2,3,2,2,2,2,2,2,2,3,2,1,4,1,1,201901001,1
1007.795048,7,2,3,1,5,2,1,1,1,2,2,2,2,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,1,2,1,2,1,,2,,1,,2,,,3,,3,1,2,3,2,2,,1,1,3,2,1,3,1,,2,1,2,201901001,1
1007.795048,7,2,3,1,6,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,1,3,1,1,1,1,1,7,2,2,2,3,2,3,,3,2,3,3,2,2,1,1,3,2,4,3,3,1,2,1,1,201901001,1
1019.970238,1,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,2,1,3,3,3,1,3,3,2,2,1,1,2,2,4,2,2,1,3,1,1,201901001,1
1019.970238,1,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,4,1,1,1,1,1,7,2,1,1,3,3,1,1,1,2,3,3,2,2,1,1,3,2,4,2,2,1,1,1,1,201901001,1
1019.970238,1,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,2,4,1,1,1,1,1,7,1,1,1,1,3,1,2,2,1,3,3,2,2,1,1,3,3,4,1,2,1,1,1,2,201901001,1
1019.970238,1,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,3,2,4,1,5,2,3,2,4,1,1,1,1,1,6,1,1,2,1,3,2,3,3,3,3,3,2,2,1,1,4,2,4,2,1,1,1,2,2,201901001,1
1019.970238,1,2,1,1,4,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,2,2,2,1,4,1,1,1,1,1,7,1,1,1,1,1,2,3,3,3,3,3,2,2,1,1,4,2,5,2,2,1,1,1,2,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,5,1,4,1,1,1,1,1,7,1,2,2,1,1,1,2,3,1,3,3,2,2,1,1,4,2,5,1,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,,,1,2,1,1,1,1,1,1,3,1,1,2,4,1,1,2,1,1,4,1,1,1,1,1,7,1,1,2,1,1,2,3,3,3,3,3,2,2,2,2,2,2,5,3,3,2,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,3,3,3,3,3,2,2,1,1,1,2,4,1,2,1,1,2,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,3,2,1,1,4,1,1,1,1,,7,1,1,1,2,2,1,2,3,2,1,3,2,2,1,1,3,2,5,2,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,5,2,3,3,2,1,4,1,1,1,1,1,7,1,1,2,1,2,2,2,2,2,1,3,2,2,1,1,3,2,5,3,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,3,1,4,1,1,1,1,1,4,1,1,2,2,1,1,2,3,1,3,3,,2,1,1,3,3,5,3,2,1,2,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,3,2,4,1,1,1,1,1,7,2,2,2,1,3,2,3,3,1,3,3,2,2,1,1,2,2,5,2,2,1,1,2,2,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,3,1,1,1,1,1,7,1,1,1,3,3,1,2,2,3,3,3,2,2,1,1,3,2,5,3,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,4,1,1,1,1,1,7,2,1,1,1,2,1,2,2,1,1,3,2,2,1,1,4,2,5,2,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,2,4,1,1,1,1,1,7,2,2,2,1,2,1,3,3,3,3,3,2,2,1,1,3,2,5,3,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,1,3,1,1,1,3,1,7,1,1,1,2,2,1,1,1,1,3,3,2,2,1,1,3,2,4,2,3,1,2,1,2,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,3,3,5,1,4,1,1,1,1,1,6,1,1,2,3,,2,3,3,2,3,3,2,2,1,1,3,2,5,3,2,1,2,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,5,6,5,1,4,1,1,1,1,1,6,1,2,2,2,1,2,2,3,3,3,3,2,2,1,1,4,2,5,1,2,1,1,1,1,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,4,1,1,1,1,1,5,2,1,2,3,3,1,3,3,3,3,3,2,2,1,1,3,3,4,2,2,1,3,1,2,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,4,1,1,1,1,1,7,1,2,2,3,1,1,2,2,3,1,2,2,2,1,1,1,1,5,3,3,1,1,1,2,201901001,1
1019.970238,2,2,1,1,3,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,4,1,1,1,1,1,5,2,2,2,3,3,2,3,3,3,3,3,2,2,1,1,3,2,4,3,2,1,2,1,1,201901001,1
1019.970238,2,2,1,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,4,1,1,1,1,1,7,2,1,1,3,2,2,2,3,3,3,3,2,2,1,1,4,3,,2,2,1,1,1,2,201901001,1
1019.970238,2,2,1,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,4,1,1,1,1,,1,1,2,2,2,1,2,2,2,2,1,2,2,2,,1,4,3,5,3,3,1,1,1,1,201901001,1
1019.970238,2,2,1,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,4,1,1,1,1,1,7,2,2,2,1,1,2,3,3,3,3,3,2,2,1,1,2,2,5,2,2,1,1,2,1,201901001,1
1019.970238,2,2,1,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,3,2,1,4,1,1,1,3,1,6,1,1,1,1,2,1,2,2,2,2,3,2,2,1,1,3,3,4,1,2,1,2,1,1,201901001,1
1019.970238,2,2,1,1,4,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,2,3,6,4,1,4,1,1,1,1,1,7,1,1,1,1,2,1,1,3,2,3,3,2,2,1,1,3,,2,2,2,1,1,2,1,201901001,1
1019.970238,2,2,1,1,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,3,2,1,3,1,1,1,1,1,6,1,1,1,3,2,1,3,3,1,1,3,2,2,2,2,4,2,5,1,2,1,1,1,1,201901001,1
1019.970238,3,2,1,1,2,2,1,1,1,2,2,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,1,4,1,2,1,1,1,1,2,2,1,2,2,1,3,2,3,3,2,2,,1,1,4,3,5,3,3,1,1,1,1,201901001,1
1019.970238,3,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,2,3,1,2,1,4,1,1,1,1,1,6,1,1,1,1,1,1,2,2,1,3,3,2,2,1,1,3,2,4,1,2,1,1,1,1,201901001,1
1019.970238,3,2,1,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,5,1,1,4,2,1,4,1,1,1,1,1,4,1,1,1,1,2,2,3,3,3,3,3,2,2,1,1,1,3,4,3,3,1,2,1,1,201901001,1
1019.970238,3,2,1,1,4,2,1,1,1,2,2,2,2,1,,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,3,2,1,4,1,1,1,1,1,7,1,1,1,1,2,1,2,2,1,3,2,2,2,1,1,4,3,5,2,2,1,1,1,1,201901001,1
1019.970238,4,2,1,1,4,2,1,,,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,5,4,1,4,1,1,1,1,1,7,2,1,1,1,1,2,3,1,1,1,3,2,2,1,4,4,3,1,3,3,1,2,2,2,201901001,1
1110.727295,4,1,4,1,3,2,1,1,1,1,2,1,2,1,1,1,2,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,1,1,1,1,4,1,1,1,3,2,1,2,2,1,1,3,2,2,1,1,4,2,5,2,2,1,1,1,1,201901001,1
1110.727295,4,1,4,1,3,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,6,1,2,2,3,3,2,3,3,2,2,2,2,2,1,1,1,2,4,3,3,1,1,2,2,201901001,1
1110.727295,4,1,4,1,5,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,4,1,1,1,1,1,7,2,1,1,1,2,1,2,2,1,1,3,2,2,1,1,1,3,5,3,1,1,1,1,1,201901001,1
